Location,PopTotal
Suriname,581.363
Sweden,10036.391
Switzerland,8591.360999999999
Syrian Arab Republic,17070.131999999998
Tajikistan,9321.023000000001
Thailand,69625.58099999999
Timor-Leste,1293.12
Togo,8082.359
Tokelau,1.33
Tonga,104.49700000000001
Trinidad and Tobago,1394.969
Tunisia,11694.721000000001
Turkey,83429.607
Turkmenistan,5942.094
Turks and Caicos Islands,38.194
Tuvalu,11.655
UN-ECE: member countries,1296680.5929999999
UNFPA Regions,6358800.278
UNFPA: Arab States (AS),370070.43299999996
UNFPA: Asia and the Pacific (AP),4047949.107
UNFPA: East and Southern Africa (ESA),601481.415
UNFPA: Eastern Europe and Central Asia (EECA),248170.83399999997
UNFPA: Latin America and the Caribbean (LAC),644001.843
UNFPA: West and Central Africa (WCA),447126.646
UNICEF PROGRAMME REGIONS,6440543.873
UNICEF Programme Regions: East Asia and Pacific (EAPRO),2129737.711
UNICEF Programme Regions: Eastern Caribbean,2397.2270000000003
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),528864.083
UNICEF Programme Regions: Europe and Central Asia (CEECIS),279293.79600000003
UNICEF Programme Regions: Latin America,640775.552
UNICEF Programme Regions: Latin America and Caribbean (LACRO),643172.779
UNICEF Programme Regions: Middle East and North Africa (MENARO),490260.787
UNICEF Programme Regions: South Asia (ROSA),1835297.503
UNICEF Programme Regions: West and Central Africa (WCARO),533917.214
UNICEF REGIONS,7713468.205
UNICEF Regions: East Asia and Pacific,2376751.014
UNICEF Regions: Eastern Europe and Central Asia,425166.05600000004
UNICEF Regions: Eastern and Southern Africa,575173.373
UNICEF Regions: Europe and Central Asia,922025.316
UNICEF Regions: Latin America and Caribbean,648120.956
UNICEF Regions: Middle East and North Africa,455575.82399999996
UNICEF Regions: North America,366600.94399999996
UNICEF Regions: South Asia,1835297.503
UNICEF Regions: Sub-Saharan Africa,1109096.648
UNICEF Regions: West and Central Africa,533923.275
UNICEF Regions: Western Europe,496859.26
UNITED NATIONS Regional Groups of Member States,7707903.418
Uganda,44269.587
Ukraine,43993.643
United Arab Emirates,9770.526
United Kingdom,67530.161
United Kingdom (and dependencies),68045.69900000001
United Nations Economic Commission for Africa (UN-ECA),1306320.572
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),648117.584
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,4590691.95
United Nations Member States,7707903.51
United Republic of Tanzania,58005.460999999996
United States Virgin Islands,104.579
United States of America,329064.917
United States of America (and dependencies),332382.72
Upper-middle-income countries,2638958.43
Uruguay,3461.7309999999998
Uzbekistan,32981.715
Vanuatu,299.882
Venezuela (Bolivarian Republic of),28515.828999999998
Viet Nam,96462.10800000001
WB region: East Asia and Pacific (excluding high income),2129754.531
WB region: Europe and Central Asia (excluding high income),421035.75700000004
WB region: Latin America and Caribbean (excluding high income),569811.869
WB region: Middle East and North Africa (excluding high income),389753.191
WB region: South Asia (excluding high income),1835297.503
WB region: Sub-Saharan Africa (excluding high income),1106864.2040000001
WHO Regions,7668888.226
WHO: African region (AFRO),1091758.856
WHO: Americas (AMRO),1009950.13
WHO: Eastern Mediterranean Region (EMRO),712276.291
WHO: European Region (EURO),930166.618
WHO: South-East Asia region (SEARO),2001946.2769999998
WHO: Western Pacific region (WPRO),1922790.054
Wallis and Futuna Islands,11.436
West African Economic and Monetary Union (UEMOA),127107.46800000001
Western Africa,391440.14700000006
Western Asia,275324.793
Western Europe,195522.41199999998
Western European and Others Group (WEOG),919088.423
Western Sahara,582.4580000000001
World,7713468.205
World Bank Regional Groups (developing only),6452517.055
Yemen,29161.922000000002
Zambia,17861.034
Zimbabwe,14645.473
